"id","ym","duration_cat","sales_amt_cat","sales_cnt_cat","unique_cust_cat","aov_cat","ind_sales_amt_rat","ind_sales_cnt_rat","ind_rank_rat","ind_cancel_rat","has_dlv_cat","m_rat","f_rat","age_20_under_rat","age_30_rat","age_40_rat","age_50_rat","age_60_over_rat","m_20_under_rat","m_30_rat","m_40_rat","m_50_rat","m_60_over_rat","f_20_under_rat","f_30_rat","f_40_rat","f_50_rat","f_60_over_rat","re_cust_rat","new_cust_rat","resid_cust_rat","office_cust_rat","move_cust_rat","is_brand","big_ind","dong"
"868FFBF701","2023-07-01",6,2,2,2,3,149.8,220,28.7,17.9,0,49.4505,50.4495,18.4,22.2,24,21,14.3,9.108,10.989,11.88,10.395,7.0785,9.292,11.211,12.12,10.605,7.2215,20.24,14.27,41.4,10,48.6,1,"일식음식점","왕십리도선동"
"868FFBF701","2023-12-01",5,2,3,2,3,137.7,197.3,14.6,18.2,0,46.2462,53.8538,19.7,23.5,22.1,20.5,14.3,9.1014,10.857,10.2102,9.471,6.6066,10.5986,12.643,11.8898,11.029,7.6934,22.26,8.01,39.3,3.4,57.3,1,"일식음식점","왕십리도선동"
"8CA6B75925","2023-01-01",4,2,2,2,3,212,309,7,19.8,0,26.8731,73.0269,62.6,25.9,5,5.7,0.7,16.8394,6.9671,1.345,1.5333,0.1883,45.7606,18.9329,3.655,4.1667,0.5117,3.3,7.89,8.4,5.8,85.7,1,"호프-간이주점","성수1가제2동"
"8CA6B75925","2023-05-01",4,2,3,2,3,195.1,258.3,7.6,22.7,0,28,72,59,26.4,6.4,6.8,1.4,16.52,7.392,1.792,1.904,0.392,42.48,19.008,4.608,4.896,1.008,2.97,7.72,4,7.4,88.6,1,"호프-간이주점","성수1가제2동"
"8CF39A31E0","2024-12-01",3,3,3,3,3,108,179.3,17.7,16.2,1,59.8598,40.2402,22.2,31.7,17.7,18.3,10.2,13.2756,18.9566,10.5846,10.9434,6.0996,8.9244,12.7434,7.1154,7.3566,4.1004,40.07,5.1,18.3,43.3,38.3,1,"일식음식점","성수2가제1동"
"B4F160AD97","2024-07-01",4,2,5,5,1,187.3,26.6,16.1,13.3,0,57.3,42.7,36.2,32.3,11.8,11.8,7.9,20.7426,18.5079,6.7614,6.7614,4.5267,15.4574,13.7921,5.0386,5.0386,3.3733,5.23,3.92,0,0,100,1,"호프-간이주점","성수2가제3동"
"B4F160AD97","2023-12-01",4,2,4,4,1,138.5,67.6,14.8,12.3,0,56.2437,43.6563,35.8,39.5,13,7.4,4.2,20.1554,22.2385,7.319,4.1662,2.3646,15.6446,17.2615,5.681,3.2338,1.8354,5.71,11.43,4,8,88,1,"호프-간이주점","성수2가제3동"
"B5DDFE115A","2023-12-01",6,2,1,2,4,252.5,352.1,26.7,13.3,0,22.8771,77.0229,9.7,24.9,31.1,22.1,12.1,2.2213,5.7021,7.1219,5.0609,2.7709,7.4787,19.1979,23.9781,17.0391,9.3291,27.11,82.78,76.9,4.5,18.6,1,"슈퍼마켓","금호2.3가동"
"BA01E62E84","2023-11-01",2,1,2,2,2,560.3,250.3,1.5,17.5,1,49.8501,50.0499,2.5,9.6,21.8,31.2,34.8,1.2475,4.7904,10.8782,15.5688,17.3652,1.2525,4.8096,10.9218,15.6312,17.4348,19.56,6.65,43.8,8.5,47.7,1,"한식음식점","금호2.3가동"
"BA01E62E84","2023-01-01",2,1,2,2,2,615.2,220.5,1.3,14.8,1,51.5,48.5,2.7,10.3,20.7,33.7,32.6,1.3905,5.3045,10.6605,17.3555,16.789,1.3095,4.9955,10.0395,16.3445,15.811,20.75,6.36,35.5,10.6,53.9,1,"한식음식점","금호2.3가동"
"BA01E62E84","2024-03-01",2,1,2,2,2,722.3,288.8,1.4,17.3,1,48.3,51.7,2.6,9.5,20.7,33.5,33.7,1.2558,4.5885,9.9981,16.1805,16.2771,1.3442,4.9115,10.7019,17.3195,17.4229,20.35,8.22,45.7,6.5,47.8,1,"한식음식점","금호2.3가동"
"BE795585AC","2023-07-01",4,1,1,1,3,795.9,722.5,0.6,17,0,44.2442,55.8558,44.8,28.6,15.1,9.7,1.9,19.8016,12.6412,6.6742,4.2874,0.8398,24.9984,15.9588,8.4258,5.4126,1.0602,7.82,7.41,9.1,16.5,74.3,1,"분식전문점","성수2가제3동"
"BF6A6456AB","2024-02-01",6,2,4,4,1,257,63.3,55.5,17.5,0,55.2,44.8,0,50,10,30,10,0,27.6,5.52,16.56,5.52,0,22.4,4.48,13.44,4.48,10.81,100,15,60,25,1,"한식음식점","성수1가제2동"
"BFC08ED8B3","2023-07-01",5,1,2,2,3,308.4,302.7,3.7,21.7,1,65.1,34.9,19.5,20,20.6,26.2,13.7,12.6945,13.02,13.4106,17.0562,8.9187,6.8055,6.98,7.1894,9.1438,4.7813,26.25,6.85,52.9,7.7,39.4,1,"한식음식점","왕십리도선동"
"CF19A96F63","2023-08-01",4,2,2,2,3,163.9,233.8,8.2,19.4,0,31.9,68.1,52.8,29.4,8.5,7.5,1.8,16.8432,9.3786,2.7115,2.3925,0.5742,35.9568,20.0214,5.7885,5.1075,1.2258,15.05,5.68,10,6.7,83.3,1,"양식음식점","성수1가제2동"
"CF19A96F63","2023-03-01",5,2,2,2,3,200.3,305.7,8.3,18.7,0,32.1,67.9,52.7,29.6,8.3,7.7,1.7,16.9167,9.5016,2.6643,2.4717,0.5457,35.7833,20.0984,5.6357,5.2283,1.1543,14.45,8.04,13,8.2,78.7,1,"양식음식점","성수1가제2동"
"E4E4B45D06","2024-09-01",3,6,6,6,6,0,0,45.1,14.2,0,25.9,74.1,6.9,34.9,25.4,25.2,7.6,1.7871,9.0391,6.5786,6.5268,1.9684,5.1129,25.8609,18.8214,18.6732,5.6316,38,0,NA,NA,NA,1,"커피-음료","금호1가동"
"E4E4B45D06","2024-10-01",3,6,6,6,6,0,0,46.5,14.2,0,26.2737,73.6263,6.1,34.9,25.4,26,7.5,1.6043,9.1787,6.6802,6.838,1.9725,4.4957,25.7213,18.7198,19.162,5.5275,38.14,0,NA,NA,NA,1,"커피-음료","금호1가동"
"E74932DE0A","2024-09-01",5,2,1,1,4,162.8,146.6,8.7,14.6,0,30.5,69.5,57.9,25.5,6.8,7.9,1.9,17.6595,7.7775,2.074,2.4095,0.5795,40.2405,17.7225,4.726,5.4905,1.3205,7.49,7.25,6.4,3.2,90.4,1,"제과점","성수1가제1동"
"E74932DE0A","2024-03-01",5,2,1,1,4,181.4,164.7,20.3,14.2,0,24.3,75.7,57.5,25.7,7.2,7.6,2,13.9725,6.2451,1.7496,1.8468,0.486,43.5275,19.4549,5.4504,5.7532,1.514,8.2,12.47,6.5,7.3,86.2,1,"제과점","성수1가제1동"
"E74932DE0A","2023-10-01",6,2,1,1,4,184.9,170.9,41.1,13.5,0,24.8,75.2,55.3,26.6,9,7.1,2,13.7144,6.5968,2.232,1.7608,0.496,41.5856,20.0032,6.768,5.3392,1.504,7.5,34.45,4.7,7.1,88.2,1,"제과점","성수1가제1동"
"EDDF492971","2024-01-01",3,3,3,3,3,136.7,126.9,7,19.5,0,30.2,69.8,38.8,29,17.2,11.2,3.8,11.7176,8.758,5.1944,3.3824,1.1476,27.0824,20.242,12.0056,7.8176,2.6524,3.42,5.05,14.3,3.2,82.5,1,"양식음식점","성수1가제2동"
"EDDF492971","2023-02-01",3,2,3,3,2,189.3,154.6,4.9,20.2,0,30.7692,69.1308,36,33.2,18.6,9,3.1,11.088,10.2256,5.7288,2.772,0.9548,24.912,22.9744,12.8712,6.228,2.1452,3.11,5.17,8,4,88,1,"양식음식점","성수1가제2동"
"EDDF492971","2024-12-01",3,3,4,4,3,97.2,79.5,6.3,16.4,0,30.1698,69.7302,38.8,30.6,15.9,10.7,3.9,11.7176,9.2412,4.8018,3.2314,1.1778,27.0824,21.3588,11.0982,7.4686,2.7222,3.96,3.96,19,0,81,1,"양식음식점","성수1가제2동"
"EDDF492971","2024-07-01",3,3,3,3,2,150.7,120.9,6.6,19.1,0,28.3283,71.7717,39.6,28.6,17.2,10.8,3.9,11.2068,8.0938,4.8676,3.0564,1.1037,28.3932,20.5062,12.3324,7.7436,2.7963,3.88,5.18,18.2,3,78.8,1,"양식음식점","성수1가제2동"
"EDDF492971","2024-03-01",3,2,3,3,3,264,224,7.1,19.2,0,28.3716,71.5284,39.2,28.7,16.9,11.3,3.8,11.1328,8.1508,4.7996,3.2092,1.0792,28.0672,20.5492,12.1004,8.0908,2.7208,3.61,9.43,13.4,1.8,84.8,1,"양식음식점","성수1가제2동"
"EDDF492971","2023-08-01",3,2,3,3,3,193,159.7,6.5,21.2,0,31.1,68.9,37.4,31.6,17.6,10.2,3.2,11.6314,9.8276,5.4736,3.1722,0.9952,25.7686,21.7724,12.1264,7.0278,2.2048,3.08,6.7,10.1,2.2,87.6,1,"양식음식점","성수1가제2동"
"EDDF492971","2024-06-01",3,2,3,3,2,258.1,209,6.6,18.9,0,28.1,71.9,39.6,29.4,16.3,10.7,4,11.1276,8.2614,4.5803,3.0067,1.124,28.4724,21.1386,11.7197,7.6933,2.876,3.82,8.21,5.6,1.9,92.6,1,"양식음식점","성수1가제2동"
"EDDF492971","2023-06-01",3,2,3,3,3,262.9,214.4,6.2,22.3,0,31.7,68.3,36.9,32,17.3,10.4,3.4,11.6973,10.144,5.4841,3.2968,1.0778,25.2027,21.856,11.8159,7.1032,2.3222,3.28,8.72,14,4.1,81.8,1,"양식음식점","성수1가제2동"
"EE000D3E14","2024-12-01",5,6,6,6,6,0,0,59.8,18,0,52,48,13.2,35.4,24.3,18.2,8.9,6.864,18.408,12.636,9.464,4.628,6.336,16.992,11.664,8.736,4.272,33.66,0,NA,NA,NA,1,"커피-음료","금호2.3가동"
"F200A12359","2024-12-01",5,4,4,4,4,16.3,66.5,42.5,19,0,54.2457,45.6543,22.4,34.1,19.6,16.6,7.2,12.1632,18.5163,10.6428,9.0138,3.9096,10.2368,15.5837,8.9572,7.5862,3.2904,31.65,4.38,45.2,22.6,32.3,1,"한식음식점","송정동"
"F200A12359","2023-10-01",6,4,4,4,3,65.5,70.3,57.6,17,0,63.8,36.2,17.6,28.9,22.5,19.7,11.3,11.2288,18.4382,14.355,12.5686,7.2094,6.3712,10.4618,8.145,7.1314,4.0906,27.64,22.76,31.6,18.4,50,1,"한식음식점","송정동"
"F2B2CFC24F","2024-06-01",5,5,4,4,4,15.8,31.8,51,17.3,0,32.5,67.5,30,21.3,16.1,23.2,9.4,9.75,6.9225,5.2325,7.54,3.055,20.25,14.3775,10.8675,15.66,6.345,25.45,4.91,65,5,30,1,"패스트푸드점","행당제2동"
"F2B2CFC24F","2024-10-01",5,4,4,4,4,31.3,43.4,49.8,17.1,0,37.7622,62.1378,26.7,22.7,15,24.5,11,10.0926,8.5806,5.67,9.261,4.158,16.6074,14.1194,9.33,15.239,6.842,25.81,5.07,83.3,5.6,11.1,1,"패스트푸드점","행당제2동"
"F2B2CFC24F","2024-05-01",5,4,4,4,4,24.5,32,52.1,17.5,0,33,67,29.6,20.6,16.6,23.5,9.7,9.768,6.798,5.478,7.755,3.201,19.832,13.802,11.122,15.745,6.499,23.94,7.51,71.4,4.8,23.8,1,"패스트푸드점","행당제2동"
"F439455087","2024-04-01",5,4,4,4,3,50.5,49.4,39,17.6,0,58.2,41.8,13.7,19.6,21.2,31,14.5,7.9734,11.4072,12.3384,18.042,8.439,5.7266,8.1928,8.8616,12.958,6.061,19.09,4.09,64.7,5.9,29.4,0,"치킨전문점","왕십리도선동"
"F439455087","2023-10-01",6,4,4,4,3,77.9,81,63.2,16.6,0,61.9619,38.1381,17.4,16.7,22,31.1,12.9,10.7706,10.3373,13.618,19.2509,7.9851,6.6294,6.3627,8.382,11.8491,4.9149,13.49,19.05,66.7,3.3,30,0,"치킨전문점","왕십리도선동"
"F439455087","2023-08-01",6,4,4,4,3,48.6,56.8,74.3,16,0,60.4395,39.4605,16,18.5,21,33.3,11.1,9.68,11.1925,12.705,20.1465,6.7155,6.32,7.3075,8.295,13.1535,4.3845,12.5,22.5,57.1,4.8,38.1,0,"치킨전문점","왕십리도선동"
"F5A4D98110","2024-04-01",4,3,3,3,4,87,127.9,25,16.7,0,43.956,55.944,46.5,21.4,15.6,12.3,4.1,20.46,9.416,6.864,5.412,1.804,26.04,11.984,8.736,6.888,2.296,36.15,4.87,45.1,18.3,36.6,1,"중식음식점","왕십리도선동"
"F5A4D98110","2024-03-01",4,3,3,3,4,87.9,135.1,24.8,16.5,0,43.7,56.3,48.1,20.6,15.2,12.2,3.9,21.0197,9.0022,6.6424,5.3314,1.7043,27.0803,11.5978,8.5576,6.8686,2.1957,35.67,8.24,38.6,13.9,47.5,1,"중식음식점","왕십리도선동"
"F5A4D98110","2023-09-01",5,3,3,3,4,91,128.2,25.3,17.2,0,39.9,60.1,50.9,19.9,14.9,11.3,3,20.3091,7.9401,5.9451,4.5087,1.197,30.5909,11.9599,8.9549,6.7913,1.803,34.47,6.33,44.4,8.9,46.7,1,"중식음식점","왕십리도선동"
"F5A4D98110","2024-02-01",4,3,3,3,4,93.9,147.7,24.4,16.7,0,43.1568,56.7432,48.9,20.1,15.3,12.1,3.5,21.1248,8.6832,6.6096,5.2272,1.512,27.7752,11.4168,8.6904,6.8728,1.988,37.75,5.82,36,13.5,50.6,1,"중식음식점","왕십리도선동"
"F5A4D98110","2023-10-01",4,3,3,3,4,79.3,123.5,25.1,17.3,0,40,60,49.9,20.5,15,11.3,3.3,19.96,8.2,6,4.52,1.32,29.94,12.3,9,6.78,1.98,35.42,4.31,35.1,14.9,50,1,"중식음식점","왕십리도선동"
"F5A4D98110","2023-07-01",5,3,3,3,4,83.2,132.5,26.8,17.3,0,38.6386,61.4614,50,20.1,14.6,12.5,2.9,19.3,7.7586,5.6356,4.825,1.1194,30.7,12.3414,8.9644,7.675,1.7806,34.3,7.57,46.8,10.6,42.6,1,"중식음식점","왕십리도선동"
"F5A4D98110","2024-06-01",4,3,3,3,4,83.9,132.1,25.6,16.8,0,43.4,56.6,44.3,21.2,16.5,13.7,4.3,19.2262,9.2008,7.161,5.9458,1.8662,25.0738,11.9992,9.339,7.7542,2.4338,37.15,5.52,32.9,14.1,52.9,1,"중식음식점","왕십리도선동"
"F5A4D98110","2024-07-01",4,3,3,3,4,75.7,119.5,25.7,17.1,0,42.6,57.4,43.7,20.9,16.5,14.5,4.4,18.6162,8.9034,7.029,6.177,1.8744,25.0838,11.9966,9.471,8.323,2.5256,36.76,5.49,36.4,10.4,53.2,1,"중식음식점","왕십리도선동"
"F5A4D98110","2023-05-01",5,3,2,2,4,121.2,183.7,28.2,17.9,0,36.8,63.2,50,19.1,13.9,14,3,18.4,7.0288,5.1152,5.152,1.104,31.6,12.0712,8.7848,8.848,1.896,35.14,10.95,40.3,7.2,52.5,1,"중식음식점","왕십리도선동"
"F5A4D98110","2024-08-01",6,5,4,4,4,17.8,24.9,27.8,17.2,0,41.7582,58.1418,43.8,20.7,16.3,14.8,4.3,18.3084,8.6526,6.8134,6.1864,1.7974,25.4916,12.0474,9.4866,8.6136,2.5026,36.02,1.05,33.3,14.3,52.4,1,"중식음식점","왕십리도선동"
"F7AB2719E7","2023-04-01",3,5,5,5,2,15.8,4.9,57.8,16.4,1,100.1,0,0,10.5,21.1,21.1,47.4,0,10.5,21.1,21.1,47.4,0,0,0,0,0,56.25,6.25,0,0,100,1,"한식음식점","성수2가제1동"
"FBC56DE125","2024-10-01",4,6,6,6,6,0,0,58,20.3,0,57.9579,42.1421,27.8,46.3,16.7,7.4,1.9,16.0962,26.8077,9.6693,4.2846,1.1001,11.7038,19.4923,7.0307,3.1154,0.7999,6.25,0,NA,NA,NA,1,"양식음식점","성수2가제3동"
"FBC56DE125","2023-12-01",5,4,4,4,3,79.6,70.1,8.1,21.5,0,46.3,53.7,35.9,35.7,17,8.2,3.2,16.6217,16.5291,7.871,3.7966,1.4816,19.2783,19.1709,9.129,4.4034,1.7184,10.34,4.74,4.3,13,82.6,1,"양식음식점","성수2가제3동"
"FBC56DE125","2024-02-01",5,6,6,6,6,0,0,8.7,21.4,0,44.8448,55.2552,36.4,35,16.9,8.5,3.3,16.3072,15.68,7.5712,3.808,1.4784,20.0928,19.32,9.3288,4.692,1.8216,10.44,0,NA,NA,NA,1,"양식음식점","성수2가제3동"
"FBC56DE125","2023-10-01",5,2,3,2,3,172.2,178.2,26.2,19.3,0,47.8521,52.0479,37.9,36.3,15.4,7.1,3.2,18.1541,17.3877,7.3766,3.4009,1.5328,19.7459,18.9123,8.0234,3.6991,1.6672,13.04,23.93,3.3,4.1,92.6,1,"양식음식점","성수2가제3동"
"FBC56DE125","2023-09-01",5,3,4,4,3,67.9,63.6,28.2,19.5,0,55.8,44.2,33.9,39.4,15.3,8.1,3.3,18.9162,21.9852,8.5374,4.5198,1.8414,14.9838,17.4148,6.7626,3.5802,1.4586,17.89,7.58,3.1,9.4,87.5,1,"양식음식점","성수2가제3동"
"FBC56DE125","2024-07-01",4,6,6,6,6,0,0,20.2,20.6,0,39.9,60.1,41.9,31.5,16.6,7.5,2.5,16.7181,12.5685,6.6234,2.9925,0.9975,25.1819,18.9315,9.9766,4.5075,1.5025,8.43,0,NA,NA,NA,1,"양식음식점","성수2가제3동"
"FCAF2BC53E","2024-02-01",3,3,1,1,5,140.2,260.8,5,14.4,0,47.9,52.1,63.6,14.5,9.7,10.1,2.1,30.4644,6.9455,4.6463,4.8379,1.0059,33.1356,7.5545,5.0537,5.2621,1.0941,32.62,3.73,37.7,9.2,53.1,0,"커피-음료","사근동"
"FCAF2BC53E","2023-04-01",3,2,1,1,6,324.5,594.9,4.5,11.4,0,50.6,49.4,65.1,14.8,9.4,8.8,1.9,32.9406,7.4888,4.7564,4.4528,0.9614,32.1594,7.3112,4.6436,4.3472,0.9386,30.77,8.9,36.2,5.9,57.8,0,"커피-음료","사근동"
"FCAF2BC53E","2024-09-01",2,2,1,1,5,240,407.6,5.6,14.2,0,47.8,52.2,60.8,15.9,9.4,11,2.9,29.0624,7.6002,4.4932,5.258,1.3862,31.7376,8.2998,4.9068,5.742,1.5138,31.12,7.38,42.5,5.4,52.1,0,"커피-음료","사근동"
"FCAF2BC53E","2024-08-01",2,3,1,1,5,202.4,332.7,5.7,14.2,0,47.5475,52.5525,61.2,15.4,9.6,11.1,2.8,29.07,7.315,4.56,5.2725,1.33,32.13,8.085,5.04,5.8275,1.47,30.9,6.39,41.4,7.4,51.2,0,"커피-음료","사근동"
"FCAF2BC53E","2024-06-01",2,2,1,1,5,277.9,490.4,5.8,14.2,0,47.6,52.4,61.5,15.5,9.8,10.5,2.7,29.274,7.378,4.6648,4.998,1.2852,32.226,8.122,5.1352,5.502,1.4148,30.71,8.55,36.5,4.7,58.8,0,"커피-음료","사근동"
"FE30B6645E","2023-02-01",4,3,2,2,4,121.9,226.3,14.9,15.5,0,68.931,30.969,27,20.7,16.1,22.2,13.9,18.63,14.283,11.109,15.318,9.591,8.37,6.417,4.991,6.882,4.309,35.26,6.2,63.1,6.2,30.8,0,"치킨전문점","왕십리도선동"
"FE30B6645E","2023-01-01",4,3,3,3,4,106.5,201.4,14.9,14.8,0,68.1318,31.7682,27.2,20.6,16.1,22.7,13.3,18.5504,14.0492,10.9802,15.4814,9.0706,8.6496,6.5508,5.1198,7.2186,4.2294,34.02,4.57,65.8,7,27.2,0,"치킨전문점","왕십리도선동"
"04393D7C92","2024-01-01",3,4,4,4,3,28.4,28.9,45.9,17.5,0,48.5,51.5,22.8,25.5,18.1,22,11.6,11.058,12.3675,8.7785,10.67,5.626,11.742,13.1325,9.3215,11.33,5.974,25,4.79,57.1,4.8,38.1,1,"한식음식점","왕십리제2동"
"04393D7C92","2023-11-01",3,4,4,4,3,29.6,32.1,45.3,17.5,0,53.1531,46.9469,17.8,28.8,18.6,23.9,11,9.4518,15.2928,9.8766,12.6909,5.841,8.3482,13.5072,8.7234,11.2091,5.159,23.04,5.76,82.6,4.3,13,1,"한식음식점","왕십리제2동"
"0507C6C859","2023-08-01",6,5,4,4,4,9.9,20.9,87.1,17,0,22.6,77.4,29.4,47.1,17.6,0,5.9,6.6444,10.6446,3.9776,0,1.3334,22.7556,36.4554,13.6224,0,4.5666,5.88,100,47.1,23.5,29.4,1,"패스트푸드점","금호1가동"
"0507C6C859","2023-10-01",6,4,3,3,4,57.6,110.2,65.5,17,0,29.3293,70.7707,24.4,34.8,26.2,11,3.7,7.1492,10.1964,7.6766,3.223,1.0841,17.2508,24.6036,18.5234,7.777,2.6159,21.33,44,55.1,3.8,41,1,"패스트푸드점","금호1가동"
"0EE4BD7D7A","2023-04-01",3,5,3,3,5,38.2,49.1,9.7,14.4,0,25.5,74.5,32.7,33.2,19.7,11.2,3.2,8.3385,8.466,5.0235,2.856,0.816,24.3615,24.734,14.6765,8.344,2.384,25.43,5.78,20.8,25,54.2,1,"커피-음료","성수2가제3동"
"0EE4BD7D7A","2023-07-01",3,4,2,3,5,86.7,112.2,8.7,14.8,0,29.1708,70.7292,29.9,32.5,21.3,11.7,4.5,8.7308,9.49,6.2196,3.4164,1.314,21.1692,23.01,15.0804,8.2836,3.186,26.82,10.43,30.2,25,44.8,1,"커피-음료","성수2가제3동"
"0EE4BD7D7A","2024-12-01",3,4,3,3,5,31.2,134.1,32.3,10.4,0,41.8581,58.0419,23.8,31.5,22.2,11.8,10.6,9.9722,13.1985,9.3018,4.9442,4.4414,13.8278,18.3015,12.8982,6.8558,6.1586,33.79,6.9,21.7,30.4,47.8,1,"커피-음료","성수2가제3동"
"0EE4BD7D7A","2023-05-01",3,4,3,3,5,52.8,39.7,10.3,14.1,0,24.7,75.3,31.8,32,19.9,12.6,3.7,7.8546,7.904,4.9153,3.1122,0.9139,23.9454,24.096,14.9847,9.4878,2.7861,24.22,10.47,23.2,41.1,35.7,1,"커피-음료","성수2가제3동"
"0EE4BD7D7A","2023-02-01",3,4,4,4,3,139.5,29.9,8.7,15.4,0,25.8741,74.0259,32.7,34.1,19.2,10.3,3.6,8.4693,8.8319,4.9728,2.6677,0.9324,24.2307,25.2681,14.2272,7.6323,2.6676,24.58,3.7,20.8,29.2,50,1,"커피-음료","성수2가제3동"
"1521FF7269","2023-03-01",5,4,4,4,3,45.8,43.8,32.6,21.1,0,53,47,17.2,29.9,24.7,20.3,7.9,9.116,15.847,13.091,10.759,4.187,8.084,14.053,11.609,9.541,3.713,9.82,7.64,29.2,4.2,66.7,1,"한식음식점","왕십리도선동"
"1521FF7269","2024-03-01",4,4,4,4,3,55.5,33.4,26.5,17.3,0,49.2507,50.6493,25.2,26.2,17.7,18.2,12.6,12.4236,12.9166,8.7261,8.9726,6.2118,12.7764,13.2834,8.9739,9.2274,6.3882,13.25,4.94,45.8,0,54.2,1,"한식음식점","왕십리도선동"
"1521FF7269","2023-11-01",4,4,4,4,3,67.8,40.2,27,17.5,0,47.9,52.1,25.7,26.4,18.8,18,11.1,12.3103,12.6456,9.0052,8.622,5.3169,13.3897,13.7544,9.7948,9.378,5.7831,12.02,6.65,15.4,3.8,80.8,1,"한식음식점","왕십리도선동"
"1E00B3CC15","2023-02-01",3,6,5,5,5,0.5,1.4,81.6,15.5,0,53,47,27.3,23.6,27.3,18.2,3.6,14.469,12.508,14.469,9.646,1.908,12.831,11.092,12.831,8.554,1.692,12.5,1.79,0,0,100,1,"한식음식점","용답동"
"203FCB7DD9","2023-09-01",4,2,1,1,4,238.4,219.9,8.3,15.2,0,46.2,53.8,46.8,29,10.1,10.6,3.5,21.6216,13.398,4.6662,4.8972,1.617,25.1784,15.602,5.4338,5.7028,1.883,31.14,5.78,48.6,10,41.4,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-09-01",3,2,1,1,4,190.1,166.8,12.8,12.1,0,47.5524,52.3476,41.5,31.9,11,10.9,4.6,19.754,15.1844,5.236,5.1884,2.1896,21.746,16.7156,5.764,5.7116,2.4104,31.7,5.6,48.1,11.6,40.3,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2023-08-01",4,2,1,1,4,242.1,248.6,8,14.4,0,45.6,54.4,47.4,28.7,10.1,10.5,3.3,21.6144,13.0872,4.6056,4.788,1.5048,25.7856,15.6128,5.4944,5.712,1.7952,30.93,6.84,46.3,11.6,42.2,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2023-05-01",4,1,1,1,4,286.6,278.3,5.7,15.1,0,45.4,54.6,48.7,27.8,9.9,10.5,3.1,22.1098,12.6212,4.4946,4.767,1.4074,26.5902,15.1788,5.4054,5.733,1.6926,31.75,7.39,41.8,11.2,47,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-04-01",3,1,1,1,4,201.4,174.1,12.9,11.8,0,48.1,51.9,43.4,30.4,11.3,10.9,4,20.8754,14.6224,5.4353,5.2429,1.924,22.5246,15.7776,5.8647,5.6571,2.076,31.37,7.21,45.9,11.2,42.9,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-12-01",3,1,1,1,4,482.2,352,3.9,20.2,0,46.7,53.3,40.1,32.3,11.3,11.2,5.1,18.7267,15.0841,5.2771,5.2304,2.3817,21.3733,17.2159,6.0229,5.9696,2.7183,32.37,4.85,45.5,9.5,44.9,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-06-01",3,1,1,1,4,206.4,184.2,13.2,12.3,0,48,52,42.9,31,11.1,10.6,4.4,20.592,14.88,5.328,5.088,2.112,22.308,16.12,5.772,5.512,2.288,30.91,7.12,47.3,10.7,42,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-10-01",3,1,1,1,4,208.8,183.8,12.5,12.2,0,47.3,52.7,40.9,32,11.2,11.1,4.8,19.3457,15.136,5.2976,5.2503,2.2704,21.5543,16.864,5.9024,5.8497,2.5296,32.42,6.51,47.7,11.7,40.5,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-05-01",3,2,1,1,4,177.6,171.8,13.2,12.1,0,47.8478,52.2522,42.7,30.9,11.3,10.9,4.3,20.4106,14.7702,5.4014,5.2102,2.0554,22.2894,16.1298,5.8986,5.6898,2.2446,31.21,7.86,45.4,9.1,45.4,0,"패스트푸드점","왕십리도선동"
"260F71BF9B","2024-02-01",6,5,4,4,5,12.9,25.7,94.1,20.7,0,39.4394,60.6606,20,20,26.7,26.7,6.7,7.88,7.88,10.5198,10.5198,2.6398,12.12,12.12,16.1802,16.1802,4.0602,19.35,100,10,50,40,1,"양식음식점","성수2가제3동"
"260F71BF9B","2024-07-01",6,4,3,3,5,53.4,117.7,79.9,17.3,0,38.5614,61.3386,26.6,36.1,19.3,14.4,3.5,10.2676,13.9346,7.4498,5.5584,1.351,16.3324,22.1654,11.8502,8.8416,2.149,28.38,15.2,25,41.7,33.3,1,"양식음식점","성수2가제3동"
"260F71BF9B","2024-11-01",5,4,3,3,5,28.9,66.6,64.4,25.8,0,35.9,64.1,28.8,36.6,19.1,12.4,3.1,10.3392,13.1394,6.8569,4.4516,1.1129,18.4608,23.4606,12.2431,7.9484,1.9871,27.31,5.64,20.4,36.7,42.9,1,"양식음식점","성수2가제3동"
"3F53A733C8","2023-05-01",6,4,3,3,4,19.8,21.9,64.2,13.8,0,33.6663,66.2337,24.5,39.4,16.5,12.2,7.3,8.2565,13.2778,5.5605,4.1114,2.4601,16.2435,26.1222,10.9395,8.0886,4.8399,15.77,14.83,13.2,30.2,56.6,1,"제과점","성수1가제2동"
"40AA7DDA7E","2023-08-01",4,4,3,3,4,53.3,124.8,20,21.2,0,63.1631,36.9369,13.6,18.6,25.9,27.6,14.4,8.5816,11.7366,16.3429,17.4156,9.0864,5.0184,6.8634,9.5571,10.1844,5.3136,39.13,4.35,39.6,27.1,33.3,1,"한식음식점","행당제1동"
